ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,問題Question,Team Name (Hide),x,y
15,e96c84f9-bfb8-4824-8900-b2ec96b5c68a,2/12/2023 7:02:08 AM,hkggatut140,2/12/2023 7:02:08 AM,hkggatut140,wrong1,TEST 001,0,0
16,f44be314-1c47-44f7-81fd-37592249fdcf,2/12/2023 7:18:39 AM,hkggatut79,2/12/2023 7:18:39 AM,hkggatut79,correct,EXP 008,0,0
17,f597dc23-15ae-4e50-81b0-5aa7cad1814f,2/12/2023 7:27:50 AM,hkggatut105,2/12/2023 7:27:50 AM,hkggatut105,correct,EXP 004,0,0
18,bb3a4d45-c885-4287-848b-4c61efb07102,2/12/2023 7:30:56 AM,hkggatut94,2/12/2023 7:30:56 AM,hkggatut94,correct,EXP 023,0,0
19,c215583f-e0af-4b7e-87f2-f5a4e352881f,2/12/2023 7:31:01 AM,hkggatut93,2/12/2023 7:31:01 AM,hkggatut93,correct,EXP 022,0,0
20,afdc59ab-9887-4ad4-88df-3ce8abe0363b,2/12/2023 7:31:58 AM,hkggatut87,2/12/2023 7:31:58 AM,hkggatut87,correct,EXP 016,0,0
21,4ef41dc5-642f-401f-8553-316582a7a95e,2/12/2023 7:32:42 AM,hkggatut83,2/12/2023 7:32:42 AM,hkggatut83,correct,EXP 012,0,0
22,caa8999a-d1eb-4108-8990-7845c1d6b253,2/12/2023 7:35:47 AM,hkggatut82,2/12/2023 7:35:47 AM,hkggatut82,correct,EXP 011,0,0
23,5f131f31-805d-4d70-873e-f64a4ed575a8,2/12/2023 7:36:11 AM,hkggatut88,2/12/2023 7:36:11 AM,hkggatut88,correct,EXP 017,0,0
24,8a539b5d-28d5-4071-827f-48b0f45fb1ff,2/12/2023 7:37:12 AM,hkggatut85,2/12/2023 7:37:12 AM,hkggatut85,correct,EXP 014,0,0
25,425fe924-8d1d-41bb-8eac-b831d69c28c7,2/12/2023 7:42:06 AM,hkggatut92,2/12/2023 7:42:06 AM,hkggatut92,correct,EXP 021,0,0
26,901ca073-9ca2-43c3-896b-d0ade8a58a5b,2/12/2023 7:45:04 AM,hkggatut80,2/12/2023 7:45:04 AM,hkggatut80,correct,EXP 009,0,0
27,c03a88e7-9a39-4109-847e-33dc7a5948a8,2/12/2023 7:50:41 AM,hkggatut78,2/12/2023 7:50:41 AM,hkggatut78,correct,EXP 007,0,0
28,ef703819-82a6-4a72-89ca-2c636e7bfe50,2/12/2023 8:19:08 AM,hkggatut72,2/12/2023 8:19:08 AM,hkggatut72,correct,EXP 001,0,0
