Position,Team Name,CP01,CP02,CP03,CP04,CP05,CP06,CP07,CP08,CP09,FinishTime,IsComplete,Total Time,Total Score
13,EXP 001,50.0,50.0,50.0,abs,abs,abs,abs,abs,10.0,abs,False,,0
12,EXP 004,50.0,abs,abs,abs,10.0,10.0,0.0,10.0,10.0,2023-02-12 16:20:57,False,01:48:51,90
14,EXP 007,50.0,50.0,50.0,50.0,10.0,10.0,abs,10.0,10.0,abs,False,,0
6,EXP 008,50.0,50.0,50.0,50.0,0.0,10.0,0.0,10.0,10.0,2023-02-12 16:18:09,True,01:46:03,230
5,EXP 009,50.0,50.0,50.0,50.0,10.0,10.0,0.0,10.0,10.0,2023-02-12 16:30:54,True,01:58:48,240
7,EXP 011,50.0,50.0,50.0,50.0,0.0,10.0,0.0,abs,10.0,2023-02-12 16:30:06,True,01:58:00,220
4,EXP 012,50.0,50.0,50.0,50.0,10.0,10.0,0.0,10.0,10.0,2023-02-12 16:26:42,True,01:54:36,240
1,EXP 014,50.0,50.0,50.0,50.0,10.0,10.0,0.0,10.0,10.0,2023-02-12 16:23:02,True,01:50:56,240
8,EXP 016,50.0,50.0,50.0,0.0,0.0,abs,0.0,0.0,10.0,2023-02-12 16:14:05,True,01:41:59,160
15,EXP 017,50.0,50.0,50.0,50.0,0.0,10.0,0.0,10.0,10.0,abs,False,,0
9,EXP 019,abs,50.0,50.0,abs,10.0,10.0,abs,10.0,10.0,2023-02-12 16:23:11,True,01:51:05,140
10,EXP 020,abs,50.0,50.0,abs,10.0,10.0,abs,10.0,10.0,2023-02-12 16:23:31,True,01:51:25,140
11,EXP 021,50.0,abs,abs,50.0,10.0,10.0,0.0,10.0,10.0,2023-02-12 16:31:50,True,01:59:44,140
2,EXP 022,50.0,50.0,50.0,50.0,10.0,10.0,0.0,10.0,10.0,2023-02-12 16:26:39,True,01:54:33,240
3,EXP 023,50.0,50.0,50.0,50.0,10.0,10.0,0.0,10.0,10.0,2023-02-12 16:26:39,True,01:54:33,240
16,TEST 001,0.0,50.0,50.0,50.0,10.0,abs,abs,abs,abs,abs,False,,0
